ticker,name,asset_type,dividends,currency,isin,source,source_file_path,active,start_date,end_date,notes
MUT.L,MURRAY INCOME TRUST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ASLI.L,ABRDN EUROPEAN LOGISTICS INCOME PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
OCN.L,OCEAN WILSONS HOLDINGS LD ORD 20P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TMPL.L,TEMPLE BAR INV TST PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TMIP.L,TAYLOR MARITIME LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CNA.L,CENTRICA PLC ORD 6 14/81P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
EXPN.L,EXPERIAN PLC ORD USD0.10,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SFR.L,SEVERFIELD PLC ORD 2.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CLIG.L,CITY OF LONDON INVESTMENT GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ENRG.L,VH GLOBAL ENERGY INFRASTRUCTURE PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BATS.L,BRITISH AMERICAN TOBACCO PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
AEI.L,ABRDN EQUITY INCOME TRUST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SOHO.L,SOCIAL HOUSING REIT PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
NXT.L,NEXT PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PAG.L,PARAGON BANKING GROUP PLC ORD 100P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BOY.L,BODYCOTE PLC ORD 17 3/11P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HBR.L,HARBOUR ENERGY PLC ORD 0.002P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TW.L,TAYLOR WIMPEY PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PRV.L,PORVAIR PLC ORD 2P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RAT.L,RATHBONES GROUP PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MNG.L,M&G PLC ORD �0.05,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DORE.L,DOWNING RENEWABLES & INFRASTRUCTURE ORD GBP0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SMIF.L,TWENTYFOUR SELECT MONTHLY INCOME FD ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HWDN.L,HOWDEN JOINERY GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PETS.L,PETS AT HOME GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GNS.L,GENUS PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MOON.L,MOONPIG GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
LMP.L,LONDONMETRIC PROPERTY PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BMY.L,BLOOMSBURY PUBLISHING PLC ORD 1.25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CPI.L,CAPITA PLC ORD 31P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CHRY.L,CHRYSALIS INVESTMENTS LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
VEIL.L,VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI),uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DGE.L,DIAGEO PLC ORD 28 101/108P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MRCH.L,MERCHANTS TRUST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
APAX.L,APAX GLOBAL ALPHA LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DPLM.L,DIPLOMA PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BRFI.L,BLACKROCK FR ORD USD0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BAG.L,BARR(A.G.) PLC ORD 4 1/6P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RCH.L,REACH PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MGNS.L,MORGAN SINDALL GROUP PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ELM.L,ELEMENTIS PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
FSFL.L,FORESIGHT SOLAR FUND LD ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GFRD.L,GALLIFORD TRY HOLDINGS PLC ORD 50P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
FEV.L,FIDELITY EUROPEAN TRUST PLC ORD 2.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HFG.L,HILTON FOOD GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
BSIF.L,BLUEFIELD SOLAR INCOME FUND LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
AO.L,AO WORLD PLC ORD 0.25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CURY.L,CURRYS PLC ORD 0.1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ROR.L,ROTORK PLC ORD 0.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GFTU.L,GRAFTON GROUP PLC UT (1 ORD) (CDI),uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ROO.L,DELIVEROO PLC ORD 0.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
N91.L,NINETY ONE PLC ORD �0.0001,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
WHR.L,WAREHOUSE REIT PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TPK.L,TRAVIS PERKINS PLC ORD �0.11205105,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SSON.L,SMITHSON INVESTMENT TRUST PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SERE.L,SCHRODER EUROPEAN REIT PLC ORD GBP0.10,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RWA.L,ROBERT WALTERS PLC ORD 20P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RGL.L,REGIONAL REIT LD ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RESI.L,RESIDENTIAL SECURE INCOME PLC ORD GBP0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RECI.L,REAL ESTATE CREDIT INV. LD ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PZC.L,PZ CUSSONS PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PINE.L,PINEWOOD TECHNOLOGIES GROUP PLC ORD GBP1.00,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PHI.L,PACIFIC HORIZON INV TST PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PCGH.L,POLAR CAPITAL GLOBAL HEALTH.TST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
NAVF.L,NIPPON ACTIVE VALUE FUND PLC ORD �0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MGCI.L,M&G CREDIT INCOME INVESTMENT TRUST ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
MAJE.L,MAJEDIE INV PLC 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
JEGI.L,JPMORGAN EUROPEAN GROWTH & INCOME ORD 0.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
JCH.L,JPMORGAN CLAVERHOUSE IT PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HSW.L,HOSTELWORLD GROUP PLC ORD EUR0.01,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HRI.L,HERALD INV TST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GSCT.L,THE GLOBAL SMALLER CO'S TRUST PLC ORD 2.5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GRI.L,GRAINGER PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
FGEN.L,FORESIGHT ENVIRONMENTAL INFRASTRUCT ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ESCT.L,THE EUROPEAN SMALLER CO'S TST PLC ORD 1.5625P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
EDIN.L,EDINBURGH INV TST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DLAR.L,DE LA RUE PLC ORD 44 152/175P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DIG.L,DUNEDIN INCOME GROWTH INV TST PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
CCEP.L,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
